,SS3_mESC_p1_A1_S1,SS3_mESC_p1_E1_S5,SS3_mESC_p1_C3_S19,SS3_mESC_p1_F2_S14,SS3_mESC_p1_A3_S17,SS3_mESC_p1_G2_S15,SS3_mESC_p1_G1_S7,SS3_mESC_p1_C1_S3,SS3_mESC_p1_B1_S2,SS3_mESC_p1_D2_S12,SS3_mESC_p1_D1_S4,SS3_mESC_p1_A2_S9,SS3_mESC_p1_H1_S8,SS3_mESC_p1_E2_S13,SS3_mESC_p1_B2_S10,SS3_mESC_p1_C2_S11,SS3_mESC_p1_B3_S18,SS3_mESC_p1_H2_S16,SS3_mESC_p1_F1_S6,SS3_mESC_p1_E3_S21,SS3_mESC_p1_D3_S20,SS3_mESC_p1_G3_S23,SS3_mESC_p1_F3_S22,SS3_mESC_p1_D4_S28,SS3_mESC_p1_A4_S25,SS3_mESC_p1_C4_S27,SS3_mESC_p1_H3_S24,SS3_mESC_p1_F4_S30,SS3_mESC_p1_A5_S33,SS3_mESC_p1_E5_S37,SS3_mESC_p1_C5_S35,SS3_mESC_p1_G4_S31,SS3_mESC_p1_B4_S26,SS3_mESC_p1_D5_S36,SS3_mESC_p1_B5_S34,SS3_mESC_p1_H4_S32,SS3_mESC_p1_F5_S38,SS3_mESC_p1_E4_S29,SS3_mESC_p1_G5_S39,SS3_mESC_p1_H5_S40,SS3_mESC_p1_B6_S42,SS3_mESC_p1_F7_S54,SS3_mESC_p1_A6_S41,SS3_mESC_p1_D6_S44,SS3_mESC_p1_G6_S47,SS3_mESC_p1_H6_S48,SS3_mESC_p1_E6_S45,SS3_mESC_p1_C6_S43,SS3_mESC_p1_B7_S50,SS3_mESC_p1_C7_S51,SS3_mESC_p1_A7_S49,SS3_mESC_p1_F6_S46,SS3_mESC_p1_D7_S52,SS3_mESC_p1_E7_S53,SS3_mESC_p1_G7_S55,SS3_mESC_p1_H7_S56,SS3_mESC_p1_A8_S57,SS3_mESC_p1_B8_S58,SS3_mESC_p1_C8_S59,SS3_mESC_p1_D8_S60,SS3_mESC_p1_E8_S61,SS3_mESC_p1_F8_S62,SS3_mESC_p1_A9_S65,SS3_mESC_p1_D9_S68,SS3_mESC_p1_H9_S72,SS3_mESC_p1_B9_S66,SS3_mESC_p1_F9_S70,SS3_mESC_p1_A10_S73,SS3_mESC_p1_G9_S71,SS3_mESC_p1_G8_S63,SS3_mESC_p1_H8_S64,SS3_mESC_p1_C9_S67,SS3_mESC_p1_E9_S69,SS3_mESC_p1_B10_S74,SS3_mESC_p1_G10_S79,SS3_mESC_p1_D10_S76,SS3_mESC_p1_C10_S75,SS3_mESC_p1_H10_S80,SS3_mESC_p1_E10_S77,SS3_mESC_p1_F10_S78,SS3_mESC_p1_B11_S82,SS3_mESC_p1_C11_S83,SS3_mESC_p1_A11_S81,SS3_mESC_p1_D11_S84,SS3_mESC_p1_E11_S85,SS3_mESC_p1_F11_S86,SS3_mESC_p1_H11_S88,SS3_mESC_p1_A12_S89,SS3_mESC_p1_G11_S87,SS3_mESC_p1_C12_S91,SS3_mESC_p1_D12_S92,SS3_mESC_p1_B12_S90,SS3_mESC_p1_E12_S93,SS3_mESC_p1_F12_S94,SS3_mESC_p2_B3_S18,SS3_mESC_p2_A1_S1,SS3_mESC_p2_E2_S13,SS3_mESC_p2_D2_S12,SS3_mESC_p2_F2_S14,SS3_mESC_p2_G1_S7,SS3_mESC_p2_C1_S3,SS3_mESC_p2_B1_S2,SS3_mESC_p2_F1_S6,SS3_mESC_p2_E1_S5,SS3_mESC_p2_A3_S17,SS3_mESC_p2_H1_S8,SS3_mESC_p2_E3_S21,SS3_mESC_p2_C2_S11,SS3_mESC_p2_D1_S4,SS3_mESC_p2_A2_S9,SS3_mESC_p2_G2_S15,SS3_mESC_p2_C3_S19,SS3_mESC_p2_B2_S10,SS3_mESC_p2_H2_S16,SS3_mESC_p2_H3_S24,SS3_mESC_p2_C4_S27,SS3_mESC_p2_G4_S31,SS3_mESC_p2_G3_S23,SS3_mESC_p2_B4_S26,SS3_mESC_p2_D4_S28,SS3_mESC_p2_D3_S20,SS3_mESC_p2_F3_S22,SS3_mESC_p2_F4_S30,SS3_mESC_p2_C5_S35,SS3_mESC_p2_A4_S25,SS3_mESC_p2_B5_S34,SS3_mESC_p2_A5_S33,SS3_mESC_p2_G5_S39,SS3_mESC_p2_E4_S29,SS3_mESC_p2_H4_S32,SS3_mESC_p2_F5_S38,SS3_mESC_p2_D5_S36,SS3_mESC_p2_E5_S37,SS3_mESC_p2_H5_S40,SS3_mESC_p2_G6_S47,SS3_mESC_p2_B6_S42,SS3_mESC_p2_A7_S49,SS3_mESC_p2_F6_S46,SS3_mESC_p2_C6_S43,SS3_mESC_p2_H6_S48,SS3_mESC_p2_H7_S56,SS3_mESC_p2_D7_S52,SS3_mESC_p2_A6_S41,SS3_mESC_p2_D6_S44,SS3_mESC_p2_C7_S51,SS3_mESC_p2_E6_S45,SS3_mESC_p2_G7_S55,SS3_mESC_p2_F7_S54,SS3_mESC_p2_B7_S50,SS3_mESC_p2_E7_S53,SS3_mESC_p2_A8_S57,SS3_mESC_p2_B8_S58,SS3_mESC_p2_D8_S60,SS3_mESC_p2_C8_S59,SS3_mESC_p2_G8_S63,SS3_mESC_p2_F8_S62,SS3_mESC_p2_H8_S64,SS3_mESC_p2_E8_S61,SS3_mESC_p2_C9_S67,SS3_mESC_p2_D9_S68,SS3_mESC_p2_F9_S70,SS3_mESC_p2_B9_S66,SS3_mESC_p2_D10_S76,SS3_mESC_p2_A9_S65,SS3_mESC_p2_H9_S72,SS3_mESC_p2_G9_S71,SS3_mESC_p2_E9_S69,SS3_mESC_p2_A10_S73,SS3_mESC_p2_B10_S74,SS3_mESC_p2_E10_S77,SS3_mESC_p2_C10_S75,SS3_mESC_p2_G10_S79,SS3_mESC_p2_F10_S78,SS3_mESC_p2_A11_S81,SS3_mESC_p2_H10_S80,SS3_mESC_p2_F11_S86,SS3_mESC_p2_D11_S84,SS3_mESC_p2_B11_S82,SS3_mESC_p2_E11_S85,SS3_mESC_p2_C11_S83,SS3_mESC_p2_C12_S91,SS3_mESC_p2_B12_S90,SS3_mESC_p2_D12_S92,SS3_mESC_p2_A12_S89,SS3_mESC_p2_G11_S87,SS3_mESC_p2_H11_S88,SS3_mESC_p2_E12_S93,SS3_mESC_p2_F12_S94
Aatf,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,6.0,0.0,1.0,0.0,3.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,6.0,0.0,2.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,7.0,0.0,1.0,3.0,8.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,2.0,1.0,5.0,4.0,1.0,4.0,3.0,3.0,1.0,4.0,4.0,6.0,1.0,4.0,1.0,,6.0,2.0,3.0,3.0,1.0,0.0,4.0,4.0,1.0,5.0,0.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,,1.0,2.0,0.0,1.0,1.0,0.0,6.0,6.0,2.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,7.0,0.0,0.0,8.0,2.0,0.0,1.0,4.0,5.0,4.0,4.0,1.0,,3.0,6.0,3.0,2.0,4.0,1.0,6.0,0.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,5.0,0.0,4.0,0.0,3.0,0.0,8.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,4.0,0.0
Abcb10,6.0,1.0,4.0,4.0,2.0,3.0,0.0,1.0,6.0,2.0,5.0,1.0,1.0,5.0,2.0,1.0,3.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,7.0,0.0,4.0,4.0,0.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,6.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,4.0,8.0,2.0,4.0,3.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,6.0,3.0,1.0,8.0,3.0,4.0,1.0,2.0,7.0,0.0,3.0,0.0,0.0,1.0,5.0,1.0,5.0,1.0,6.0,4.0,3.0,1.0,3.0,6.0,5.0,2.0,4.0,0.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,2.0,5.0,4.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,4.0,3.0,7.0,5.0,0.0,5.0,3.0,5.0,1.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,6.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,8.0,2.0,3.0,1.0,1.0,8.0,4.0,5.0,3.0,6.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,0.0,7.0,0.0,0.0,1.0,4.0,6.0,1.0,5.0,5.0,3.0,1.0
Abcc1,0.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,,1.0,0.0,7.0,6.0,3.0,8.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,9.0,0.0,1.0,3.0,2.0,0.0,3.0,7.0,0.0,,6.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,8.0,0.0,,0.0,1.0,1.0,3.0,6.0,1.0,3.0,0.0,7.0,1.0,0.0,4.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,3.0,0.0,,1.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0
Abcc10,,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,,0.0,0.0,,1.0,2.0,0.0,0.0,0.0,1.0,1.0,,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,0.0,0.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,,0.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,7.0,1.0,2.0,0.0,1.0
Abcc3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0
Abcc4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,8.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,8.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,1.0,2.0,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,,0.0,0.0,3.0,4.0,0.0,0.0
Abcc5,,5.0,0.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,,2.0,3.0,0.0,0.0,1.0,9.0,1.0,5.0,0.0,,2.0,3.0,1.0,1.0,7.0,0.0,2.0,1.0,3.0,1.0,7.0,3.0,13.0,5.0,0.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,5.0,11.0,0.0,0.0,3.0,2.0,3.0,0.0,4.0,5.0,2.0,14.0,5.0,5.0,0.0,11.0,0.0,1.0,0.0,7.0,5.0,10.0,5.0,6.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,6.0,2.0,3.0,,0.0,3.0,4.0,2.0,0.0,1.0,0.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,,0.0,3.0,2.0,2.0,1.0,1.0,0.0,9.0,5.0,1.0,0.0,,1.0,1.0,5.0,13.0,7.0,3.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,5.0,5.0,7.0,2.0,0.0,2.0,3.0,0.0,11.0,0.0,0.0,14.0,3.0,5.0,1.0,11.0,5.0,0.0,10.0,0.0,1.0,5.0,7.0,6.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0
Abcd4,8.0,1.0,1.0,,0.0,2.0,0.0,,3.0,1.0,0.0,4.0,,5.0,3.0,1.0,0.0,0.0,3.0,3.0,9.0,,2.0,1.0,13.0,6.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,3.0,0.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,5.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,2.0,3.0,6.0,0.0,5.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,8.0,5.0,1.0,,0.0,,3.0,3.0,1.0,0.0,,3.0,1.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0,6.0,0.0,,0.0,1.0,9.0,2.0,2.0,0.0,13.0,,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,,,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,7.0,2.0,1.0,,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,7.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,
Abce1,2.0,0.0,2.0,4.0,,5.0,1.0,9.0,16.0,5.0,3.0,0.0,1.0,1.0,0.0,9.0,4.0,5.0,1.0,2.0,6.0,10.0,5.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,8.0,3.0,4.0,0.0,14.0,6.0,7.0,0.0,3.0,2.0,12.0,3.0,4.0,2.0,9.0,1.0,11.0,4.0,5.0,7.0,11.0,3.0,1.0,9.0,7.0,2.0,1.0,5.0,0.0,1.0,2.0,7.0,15.0,1.0,5.0,0.0,1.0,6.0,0.0,5.0,11.0,0.0,3.0,5.0,6.0,2.0,4.0,,2.0,0.0,2.0,9.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,,0.0,4.0,2.0,1.0,5.0,4.0,1.0,9.0,16.0,1.0,0.0,,1.0,2.0,9.0,3.0,0.0,5.0,2.0,0.0,5.0,1.0,0.0,1.0,10.0,0.0,2.0,6.0,5.0,0.0,4.0,2.0,3.0,2.0,6.0,14.0,4.0,0.0,8.0,0.0,7.0,3.0,0.0,4.0,5.0,9.0,4.0,1.0,7.0,2.0,12.0,11.0,2.0,3.0,3.0,1.0,11.0,9.0,7.0,1.0,2.0,1.0,0.0,6.0,5.0,0.0,2.0,1.0,15.0,3.0,1.0,7.0,0.0,5.0,5.0,11.0,2.0,5.0,0.0,4.0,0.0,6.0,0.0,2.0,,9.0,2.0,2.0,5.0,1.0,1.0,3.0,0.0,,0.0
Abcf1,5.0,1.0,13.0,15.0,0.0,7.0,5.0,10.0,13.0,14.0,1.0,11.0,9.0,5.0,5.0,1.0,8.0,11.0,20.0,6.0,14.0,5.0,5.0,9.0,8.0,14.0,6.0,8.0,4.0,7.0,12.0,8.0,1.0,12.0,4.0,4.0,7.0,8.0,3.0,10.0,3.0,3.0,4.0,5.0,7.0,0.0,7.0,2.0,4.0,10.0,15.0,8.0,4.0,16.0,10.0,5.0,6.0,16.0,7.0,1.0,20.0,3.0,5.0,3.0,16.0,27.0,9.0,10.0,2.0,6.0,12.0,8.0,17.0,19.0,6.0,10.0,2.0,12.0,18.0,6.0,6.0,3.0,5.0,5.0,9.0,1.0,6.0,10.0,12.0,9.0,16.0,6.0,7.0,6.0,8.0,5.0,5.0,14.0,15.0,5.0,10.0,13.0,20.0,1.0,0.0,9.0,6.0,1.0,1.0,11.0,7.0,13.0,5.0,11.0,6.0,14.0,8.0,5.0,1.0,9.0,14.0,5.0,8.0,12.0,8.0,4.0,4.0,3.0,8.0,4.0,7.0,12.0,7.0,10.0,7.0,3.0,15.0,8.0,2.0,0.0,5.0,4.0,4.0,5.0,10.0,7.0,10.0,3.0,4.0,16.0,6.0,16.0,1.0,7.0,6.0,3.0,12.0,20.0,8.0,3.0,9.0,27.0,10.0,5.0,16.0,2.0,17.0,10.0,19.0,18.0,2.0,6.0,6.0,5.0,12.0,1.0,5.0,6.0,9.0,3.0,9.0,6.0,16.0,10.0,12.0,6.0,7.0,6.0
Abcf2,5.0,0.0,5.0,3.0,0.0,1.0,2.0,1.0,12.0,6.0,0.0,2.0,0.0,9.0,3.0,6.0,3.0,5.0,2.0,6.0,1.0,5.0,2.0,7.0,2.0,3.0,0.0,4.0,8.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,8.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,6.0,4.0,4.0,4.0,8.0,1.0,3.0,12.0,3.0,3.0,3.0,8.0,4.0,3.0,9.0,2.0,0.0,8.0,12.0,2.0,1.0,5.0,0.0,4.0,1.0,4.0,8.0,1.0,2.0,2.0,1.0,10.0,6.0,1.0,4.0,0.0,5.0,0.0,7.0,1.0,7.0,4.0,6.0,4.0,13.0,2.0,5.0,2.0,3.0,5.0,9.0,6.0,3.0,2.0,1.0,12.0,2.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,1.0,5.0,3.0,5.0,0.0,3.0,2.0,5.0,3.0,7.0,1.0,2.0,4.0,2.0,2.0,4.0,8.0,2.0,8.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,8.0,1.0,4.0,0.0,3.0,3.0,1.0,1.0,4.0,6.0,3.0,2.0,4.0,12.0,3.0,8.0,3.0,4.0,4.0,2.0,1.0,9.0,4.0,8.0,1.0,2.0,2.0,0.0,12.0,0.0,8.0,5.0,1.0,6.0,1.0,2.0,1.0,5.0,10.0,1.0,0.0,4.0,7.0,0.0,4.0,2.0,13.0,4.0,6.0,7.0,5.0,2.0
Abcf3,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,,0.0,3.0,0.0,,9.0,,3.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,3.0,,,0.0,,10.0,,,2.0,0.0,8.0,4.0,0.0,4.0,15.0,2.0,6.0,0.0,0.0,,1.0,3.0,2.0,0.0,,9.0,12.0,1.0,6.0,4.0,4.0,7.0,,,5.0,0.0,,4.0,3.0,5.0,,14.0,6.0,,,0.0,,4.0,,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,,0.0,3.0,4.0,,1.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,,6.0,3.0,3.0,0.0,4.0,3.0,,2.0,0.0,,2.0,1.0,0.0,3.0,0.0,0.0,,,,4.0,10.0,2.0,15.0,0.0,4.0,8.0,,6.0,3.0,0.0,1.0,6.0,,2.0,,4.0,,1.0,12.0,0.0,7.0,0.0,9.0,4.0,,5.0,,0.0,,3.0,4.0,4.0,,,,6.0,2.0,5.0,14.0,0.0,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,,,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0
Abhd11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,8.0,0.0,,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,4.0,2.0,4.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,6.0,0.0,4.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,8.0,0.0,1.0,5.0,0.0,,2.0,3.0,,1.0,1.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,4.0,7.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,4.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0
Abhd4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,4.0
